Unnamed: 0,speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_15,cluster_2,cluster_1,cluster_4,cluster_12,cluster_0,cluster_9,cluster_5,cluster_14,cluster_8,cluster_10,cluster_17,cluster_3,cluster_11,cluster_7,cluster_6,cluster_13,cluster_16,cluster_15_p,cluster_2_p,cluster_1_p,cluster_4_p,cluster_12_p,cluster_0_p,cluster_9_p,cluster_5_p,cluster_14_p,cluster_8_p,cluster_10_p,cluster_17_p,cluster_3_p,cluster_11_p,cluster_7_p,cluster_6_p,cluster_13_p,cluster_16_p,n
3189,43043421,430005398,SARGENT,AARON,S,CA,M,R,,voting,18731217,1827-09-28,1827,1873,46,0.0,3,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.025,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
5977,43053990,430010203,COX,SAMUEL,H,NY,M,D,6.0,voting,18740114,1824-09-30,1824,1874,50,0.0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
8597,43042140,430014525,ALBRIGHT,CHARLES,H,PA,M,R,-1.0,voting,18740128,1830-12-13,1830,1874,44,0.0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
12729,43039641,430021075,FENTON,REUBEN,S,NY,M,L,,voting,18740216,1819-07-04,1819,1874,55,0.0,1,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
92039,43055250,430032853,WHITTHORNE,WASHINGTON,H,TN,M,D,6.0,voting,18740324,1825-04-19,1825,1874,49,0.0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
39025,43045130,430064122,STONE,WILLIAM,H,MO,M,D,3.0,voting,18740603,1828-11-07,1828,1874,46,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
48289,43043421,430079156,SARGENT,AARON,S,CA,M,R,,voting,18741207,1827-09-28,1827,1874,47,0.0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
94019,43047040,430082889,CHITTENDEN,SIMEON,H,NY,M,I,3.0,voting,18741222,1814-03-29,1814,1874,60,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
50825,43044160,430082892,BURLEIGH,JOHN,H,ME,M,R,1.0,voting,18741222,1822-10-09,1822,1874,52,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
52236,43043450,430085183,SCOFIELD,GLENNI,H,PA,M,R,-1.0,voting,18750108,1817-03-11,1817,1875,58,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
61194,43043150,430100288,MYERS,LEONARD,H,PA,M,R,3.0,voting,18750213,1827-11-13,1827,1875,48,0.0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
