speech_id,year,sense,count,n
430005398,1873,ship,36,40
430005398,1873,observe,1,40
430005398,1873,newspaper,3,40
430010203,1874,ship,7,9
430010203,1874,observe,2,9
430010203,1874,newspaper,0,9
430014525,1874,ship,7,10
430014525,1874,observe,0,10
430014525,1874,newspaper,0,10
430021075,1874,ship,8,10
430021075,1874,observe,0,10
430021075,1874,newspaper,1,10
430032853,1874,ship,1,10
430032853,1874,observe,1,10
430032853,1874,newspaper,8,10
430064122,1874,ship,10,10
430064122,1874,observe,0,10
430064122,1874,newspaper,0,10
430079156,1874,ship,18,19
430079156,1874,observe,0,19
430079156,1874,newspaper,1,19
430082889,1874,ship,10,10
430082889,1874,observe,0,10
430082889,1874,newspaper,0,10
430082892,1874,ship,10,10
430082892,1874,observe,0,10
430082892,1874,newspaper,0,10
430085183,1875,ship,10,10
430085183,1875,observe,0,10
430085183,1875,newspaper,0,10
430100288,1875,ship,8,9
430100288,1875,observe,1,9
430100288,1875,newspaper,0,9
440005638,1876,ship,1,10
440005638,1876,observe,0,10
440005638,1876,newspaper,0,10
440005708,1876,ship,3,10
440005708,1876,observe,0,10
440005708,1876,newspaper,6,10
440013158,1876,ship,9,10
440013158,1876,observe,0,10
440013158,1876,newspaper,1,10
440015607,1876,ship,8,10
440015607,1876,observe,0,10
440015607,1876,newspaper,0,10
440036765,1876,ship,4,10
440036765,1876,observe,1,10
440036765,1876,newspaper,4,10
440036768,1876,ship,6,20
440036768,1876,observe,2,20
440036768,1876,newspaper,10,20
440038646,1876,ship,6,20
440038646,1876,observe,2,20
440038646,1876,newspaper,11,20
440039710,1876,ship,10,10
440039710,1876,observe,0,10
440039710,1876,newspaper,0,10
440040262,1876,ship,2,10
440040262,1876,observe,0,10
440040262,1876,newspaper,7,10
440057144,1876,ship,0,10
440057144,1876,observe,2,10
440057144,1876,newspaper,8,10
440062177,1876,ship,45,50
440062177,1876,observe,0,50
440062177,1876,newspaper,3,50
440064565,1876,ship,20,20
440064565,1876,observe,0,20
440064565,1876,newspaper,0,20
440068867,1876,ship,8,10
440068867,1876,observe,0,10
440068867,1876,newspaper,0,10
440068919,1876,ship,4,10
440068919,1876,observe,0,10
440068919,1876,newspaper,6,10
440069262,1876,ship,9,10
440069262,1876,observe,0,10
440069262,1876,newspaper,1,10
440072082,1876,ship,9,10
440072082,1876,observe,0,10
440072082,1876,newspaper,1,10
440073030,1876,ship,10,10
440073030,1876,observe,0,10
440073030,1876,newspaper,0,10
440073037,1876,ship,9,10
440073037,1876,observe,0,10
440073037,1876,newspaper,1,10
440073041,1876,ship,10,10
440073041,1876,observe,0,10
440073041,1876,newspaper,0,10
440073043,1876,ship,10,10
440073043,1876,observe,0,10
440073043,1876,newspaper,0,10
440073448,1876,ship,10,10
440073448,1876,observe,0,10
440073448,1876,newspaper,0,10
440076969,1876,ship,3,10
440076969,1876,observe,1,10
440076969,1876,newspaper,6,10
440080396,1876,ship,10,10
440080396,1876,observe,0,10
440080396,1876,newspaper,0,10
440080968,1876,ship,10,10
440080968,1876,observe,0,10
440080968,1876,newspaper,0,10
440087261,1877,ship,2,10
440087261,1877,observe,0,10
440087261,1877,newspaper,7,10
450028970,1878,ship,0,10
450028970,1878,observe,0,10
450028970,1878,newspaper,10,10
450064151,1878,ship,0,9
450064151,1878,observe,0,9
450064151,1878,newspaper,9,9
450099275,1879,ship,6,20
450099275,1879,observe,0,20
450099275,1879,newspaper,0,20
450103067,1879,ship,6,10
450103067,1879,observe,1,10
450103067,1879,newspaper,2,10
450123075,1879,ship,9,10
450123075,1879,observe,0,10
450123075,1879,newspaper,1,10
460011143,1879,ship,0,10
460011143,1879,observe,0,10
460011143,1879,newspaper,0,10
460065668,1880,ship,10,10
460065668,1880,observe,0,10
460065668,1880,newspaper,0,10
460067365,1880,ship,0,10
460067365,1880,observe,0,10
460067365,1880,newspaper,10,10
460087093,1880,ship,9,10
460087093,1880,observe,0,10
460087093,1880,newspaper,0,10
460118833,1880,ship,9,9
460118833,1880,observe,0,9
460118833,1880,newspaper,0,9
460118835,1880,ship,10,10
460118835,1880,observe,0,10
460118835,1880,newspaper,0,10
460119581,1880,ship,8,10
460119581,1880,observe,0,10
460119581,1880,newspaper,2,10
460127769,1880,ship,9,10
460127769,1880,observe,0,10
460127769,1880,newspaper,1,10
470015736,1882,ship,10,10
470015736,1882,observe,0,10
470015736,1882,newspaper,0,10
470017984,1882,ship,12,18
470017984,1882,observe,2,18
470017984,1882,newspaper,4,18
470020595,1882,ship,1,10
470020595,1882,observe,2,10
470020595,1882,newspaper,7,10
470031912,1882,ship,5,10
470031912,1882,observe,0,10
470031912,1882,newspaper,4,10
470035147,1882,ship,4,10
470035147,1882,observe,1,10
470035147,1882,newspaper,1,10
470048301,1882,ship,10,10
470048301,1882,observe,0,10
470048301,1882,newspaper,0,10
470049254,1882,ship,10,10
470049254,1882,observe,0,10
470049254,1882,newspaper,0,10
470058948,1882,ship,0,10
470058948,1882,observe,0,10
470058948,1882,newspaper,10,10
470068433,1882,ship,0,10
470068433,1882,observe,1,10
470068433,1882,newspaper,9,10
470070131,1882,ship,43,48
470070131,1882,observe,0,48
470070131,1882,newspaper,5,48
470070135,1882,ship,10,10
470070135,1882,observe,0,10
470070135,1882,newspaper,0,10
470070139,1882,ship,28,30
470070139,1882,observe,0,30
470070139,1882,newspaper,2,30
470070153,1882,ship,10,10
470070153,1882,observe,0,10
470070153,1882,newspaper,0,10
470070166,1882,ship,18,20
470070166,1882,observe,0,20
470070166,1882,newspaper,2,20
470070169,1882,ship,10,10
470070169,1882,observe,0,10
470070169,1882,newspaper,0,10
470070173,1882,ship,6,10
470070173,1882,observe,1,10
470070173,1882,newspaper,2,10
470070174,1882,ship,9,10
470070174,1882,observe,0,10
470070174,1882,newspaper,1,10
470070209,1882,ship,22,28
470070209,1882,observe,2,28
470070209,1882,newspaper,4,28
470070213,1882,ship,44,49
470070213,1882,observe,3,49
470070213,1882,newspaper,2,49
470070219,1882,ship,19,19
470070219,1882,observe,0,19
470070219,1882,newspaper,0,19
470070222,1882,ship,42,47
470070222,1882,observe,1,47
470070222,1882,newspaper,4,47
470070224,1882,ship,8,10
470070224,1882,observe,0,10
470070224,1882,newspaper,2,10
470070226,1882,ship,10,10
470070226,1882,observe,0,10
470070226,1882,newspaper,0,10
470070227,1882,ship,9,10
470070227,1882,observe,0,10
470070227,1882,newspaper,1,10
470070228,1882,ship,20,20
470070228,1882,observe,0,20
470070228,1882,newspaper,0,20
470070231,1882,ship,25,30
470070231,1882,observe,1,30
470070231,1882,newspaper,4,30
470070235,1882,ship,9,10
470070235,1882,observe,0,10
470070235,1882,newspaper,1,10
470070238,1882,ship,9,10
470070238,1882,observe,0,10
470070238,1882,newspaper,1,10
470076607,1882,ship,7,10
470076607,1882,observe,0,10
470076607,1882,newspaper,3,10
470079040,1882,ship,10,10
470079040,1882,observe,0,10
470079040,1882,newspaper,0,10
470082924,1882,ship,7,10
470082924,1882,observe,0,10
470082924,1882,newspaper,3,10
470094210,1882,ship,10,10
470094210,1882,observe,0,10
470094210,1882,newspaper,0,10
470095032,1882,ship,9,10
470095032,1882,observe,0,10
470095032,1882,newspaper,0,10
470095036,1882,ship,10,10
470095036,1882,observe,0,10
470095036,1882,newspaper,0,10
470095041,1882,ship,8,10
470095041,1882,observe,0,10
470095041,1882,newspaper,1,10
470095065,1882,ship,18,20
470095065,1882,observe,1,20
470095065,1882,newspaper,1,20
470098093,1882,ship,8,10
470098093,1882,observe,0,10
470098093,1882,newspaper,2,10
470098104,1882,ship,7,10
470098104,1882,observe,1,10
470098104,1882,newspaper,2,10
470098129,1882,ship,1,10
470098129,1882,observe,3,10
470098129,1882,newspaper,6,10
470098898,1882,ship,9,10
470098898,1882,observe,0,10
470098898,1882,newspaper,1,10
470098920,1882,ship,19,20
470098920,1882,observe,1,20
470098920,1882,newspaper,0,20
470124938,1882,ship,20,20
470124938,1882,observe,0,20
470124938,1882,newspaper,0,20
470124939,1882,ship,32,38
470124939,1882,observe,1,38
470124939,1882,newspaper,5,38
470124945,1882,ship,10,10
470124945,1882,observe,0,10
470124945,1882,newspaper,0,10
470131522,1882,ship,9,10
470131522,1882,observe,0,10
470131522,1882,newspaper,1,10
470131642,1882,ship,9,10
470131642,1882,observe,0,10
470131642,1882,newspaper,1,10
470131653,1882,ship,145,166
470131653,1882,observe,5,166
470131653,1882,newspaper,13,166
470131657,1882,ship,37,50
470131657,1882,observe,2,50
470131657,1882,newspaper,3,50
470131661,1882,ship,20,30
470131661,1882,observe,4,30
470131661,1882,newspaper,6,30
470131668,1882,ship,8,10
470131668,1882,observe,1,10
470131668,1882,newspaper,1,10
470131675,1882,ship,50,56
470131675,1882,observe,0,56
470131675,1882,newspaper,6,56
470131678,1882,ship,10,10
470131678,1882,observe,0,10
470131678,1882,newspaper,0,10
470131679,1882,ship,9,10
470131679,1882,observe,0,10
470131679,1882,newspaper,1,10
470131680,1882,ship,8,10
470131680,1882,observe,0,10
470131680,1882,newspaper,2,10
470131681,1882,ship,9,10
470131681,1882,observe,1,10
470131681,1882,newspaper,0,10
470131683,1882,ship,10,10
470131683,1882,observe,0,10
470131683,1882,newspaper,0,10
470131687,1882,ship,17,19
470131687,1882,observe,0,19
470131687,1882,newspaper,2,19
470131688,1882,ship,9,10
470131688,1882,observe,1,10
470131688,1882,newspaper,0,10
470131691,1882,ship,19,20
470131691,1882,observe,0,20
470131691,1882,newspaper,1,20
470131710,1882,ship,29,30
470131710,1882,observe,0,30
470131710,1882,newspaper,1,30
470131723,1882,ship,14,20
470131723,1882,observe,0,20
470131723,1882,newspaper,6,20
470131724,1882,ship,19,20
470131724,1882,observe,0,20
470131724,1882,newspaper,0,20
470131728,1882,ship,17,20
470131728,1882,observe,0,20
470131728,1882,newspaper,3,20
470131743,1882,ship,9,9
470131743,1882,observe,0,9
470131743,1882,newspaper,0,9
470131745,1882,ship,4,5
470131745,1882,observe,0,5
470131745,1882,newspaper,1,5
470131747,1882,ship,136,154
470131747,1882,observe,5,154
470131747,1882,newspaper,12,154
470131748,1882,ship,28,30
470131748,1882,observe,0,30
470131748,1882,newspaper,2,30
470131758,1882,ship,9,10
470131758,1882,observe,0,10
470131758,1882,newspaper,1,10
470146516,1883,ship,10,10
470146516,1883,observe,0,10
470146516,1883,newspaper,0,10
470147009,1883,ship,10,10
470147009,1883,observe,0,10
470147009,1883,newspaper,0,10
470155090,1883,ship,9,10
470155090,1883,observe,0,10
470155090,1883,newspaper,1,10
470155099,1883,ship,8,10
470155099,1883,observe,0,10
470155099,1883,newspaper,2,10
470155100,1883,ship,4,10
470155100,1883,observe,0,10
470155100,1883,newspaper,6,10
470155217,1883,ship,8,10
470155217,1883,observe,1,10
470155217,1883,newspaper,0,10
470182356,1883,ship,8,10
470182356,1883,observe,0,10
470182356,1883,newspaper,2,10
470189766,1883,ship,13,20
470189766,1883,observe,1,20
470189766,1883,newspaper,5,20
470189906,1883,ship,8,10
470189906,1883,observe,1,10
470189906,1883,newspaper,1,10
470193954,1883,ship,43,47
470193954,1883,observe,0,47
