year,sense,count_total,n_total
1873,newspaper,3,40
1873,observe,1,40
1873,ship,36,40
1874,newspaper,10,88
1874,observe,3,88
1874,ship,71,88
1875,newspaper,0,19
1875,observe,1,19
1875,ship,18,19
1876,newspaper,65,310
1876,observe,8,310
1876,ship,216,310
1877,newspaper,7,10
1877,observe,0,10
1877,ship,2,10
1878,newspaper,19,19
1878,observe,0,19
1878,ship,0,19
1879,newspaper,3,50
1879,observe,1,50
1879,ship,21,50
1880,newspaper,13,69
1880,observe,0,69
1880,ship,55,69
1882,newspaper,153,1436
1882,observe,40,1436
1882,ship,1222,1436
1883,newspaper,24,176
1883,observe,3,176
1883,ship,146,176
1884,newspaper,32,327
1884,observe,11,327
1884,ship,275,327
1885,newspaper,9,135
1885,observe,9,135
1885,ship,116,135
1886,newspaper,13,215
1886,observe,8,215
1886,ship,187,215
1887,newspaper,5,127
1887,observe,5,127
1887,ship,109,127
1888,newspaper,30,116
1888,observe,6,116
1888,ship,78,116
1889,newspaper,13,209
1889,observe,5,209
1889,ship,191,209
1890,newspaper,21,353
1890,observe,7,353
1890,ship,309,353
1891,newspaper,14,327
1891,observe,18,327
1891,ship,278,327
1892,newspaper,34,529
1892,observe,21,529
1892,ship,459,529
1893,newspaper,1,10
1893,observe,0,10
1893,ship,9,10
1894,newspaper,30,87
1894,observe,18,87
1894,ship,38,87
1895,newspaper,8,70
1895,observe,3,70
1895,ship,55,70
1896,newspaper,5,80
1896,observe,2,80
1896,ship,53,80
1897,newspaper,2,10
1897,observe,0,10
1897,ship,8,10
1898,newspaper,104,744
1898,observe,25,744
1898,ship,604,744
1899,newspaper,9,30
1899,observe,0,30
1899,ship,21,30
1900,newspaper,30,138
1900,observe,7,138
1900,ship,94,138
1901,newspaper,6,30
1901,observe,2,30
1901,ship,22,30
1902,newspaper,47,326
1902,observe,21,326
1902,ship,215,326
1903,newspaper,17,20
1903,observe,1,20
1903,ship,1,20
1904,newspaper,7,110
1904,observe,11,110
1904,ship,81,110
1905,newspaper,11,57
1905,observe,0,57
1905,ship,46,57
1906,newspaper,12,59
1906,observe,9,59
1906,ship,38,59
1907,newspaper,1,20
1907,observe,1,20
1907,ship,10,20
1908,newspaper,13,90
1908,observe,2,90
1908,ship,64,90
1910,newspaper,0,10
1910,observe,0,10
1910,ship,10,10
1911,newspaper,6,38
1911,observe,2,38
1911,ship,29,38
1912,newspaper,10,130
1912,observe,8,130
1912,ship,78,130
1913,newspaper,24,48
1913,observe,2,48
1913,ship,21,48
1914,newspaper,44,138
1914,observe,5,138
1914,ship,80,138
1915,newspaper,0,29
1915,observe,1,29
1915,ship,28,29
1916,newspaper,52,343
1916,observe,15,343
1916,ship,254,343
1917,newspaper,53,87
1917,observe,2,87
1917,ship,31,87
1918,newspaper,73,103
1918,observe,3,103
1918,ship,24,103
1919,newspaper,184,222
1919,observe,6,222
1919,ship,23,222
1920,newspaper,52,93
1920,observe,1,93
1920,ship,38,93
1921,newspaper,41,177
1921,observe,4,177
1921,ship,116,177
1922,newspaper,68,95
1922,observe,6,95
1922,ship,12,95
1923,newspaper,8,9
1923,observe,0,9
1923,ship,1,9
1924,newspaper,61,83
1924,observe,1,83
1924,ship,20,83
1925,newspaper,141,165
1925,observe,3,165
1925,ship,20,165
1926,newspaper,32,116
1926,observe,5,116
1926,ship,67,116
1927,newspaper,34,56
1927,observe,5,56
1927,ship,10,56
1928,newspaper,19,39
1928,observe,0,39
1928,ship,19,39
1929,newspaper,45,65
1929,observe,1,65
1929,ship,18,65
1930,newspaper,69,113
1930,observe,4,113
1930,ship,22,113
1931,newspaper,35,47
1931,observe,2,47
