"","language","measure","uni_lemma","age","num_true","num_false","prop","lexical_class","category","definition","words","num_phons","MLU","frequency","valence","arousal","iconicity","babiness","concreteness"
"1","Croatian","produces","airplane",24,22,8,0.733333333333333,"nouns","vehicles","avion","avion",5,5.291666666665,-6.65279651566813,5.25,5.62,NA,NA,4.96
"2","Croatian","produces","animal",24,5,25,0.166666666666667,"nouns","animals","životinja","životinja",8,6.49122807017754,-7.1670644836251,7.06,4.3,12.3947368421053,4.888888889,4.61
"3","Croatian","produces","apple",24,26,4,0.866666666666667,"nouns","food_drink","jabuka","jabuka",6,3.89473684210526,-8.23177522061752,6.62,3.52,8.34285714285714,3.5,5
"4","Croatian","produces","arm",24,27,3,0.9,"nouns","body_parts","ruka","ruka",4,6.3522727272733,-6.05135776159769,5.44,3.44,12.8,4.3,4.96
"5","Croatian","produces","armchair",24,1,29,0.0333333333333333,"nouns","furniture_rooms","fotelja","fotelja",6,6.35,-8.18298505644809,5.67,2.75,NA,NA,5
"6","Croatian","produces","asleep",24,25,5,0.833333333333333,"adjectives","descriptive_words","spava","spava",5,5.63819095477236,-5.92919012762348,6.5,2,21.15,7.19047619,3.71
"7","Croatian","produces","aunt",24,27,3,0.9,"other","people","teta","teta",4,6.60762711864481,-4.15339067797415,6.56,2.71,5.27777777777778,6.7,4.17
"8","Croatian","produces","back (location)",24,5,25,0.166666666666667,"function_words","locations","iza","iza",3,7.09960159362486,-5.69807840666009,4.76,2.59,26.5526315789474,3.5,4.33
"9","Croatian","produces","backyard",24,10,20,0.333333333333333,"nouns","outside","dvorište","dvorište",8,4.81818181818182,-8.74260084438351,6.1,3.88,NA,NA,4.57
"10","Croatian","produces","ball",24,25,5,0.833333333333333,"nouns","toys","lopta","lopta",5,6.11764705882184,-5.68233004969195,6.14,3.48,17.5882352941176,6,5
"11","Croatian","produces","balloon",24,24,6,0.8,"nouns","toys","balon","balon",5,6.12820512820359,-6.17126168882321,6.84,3.9,12.2162162162162,6.545454545,4.92
"12","Croatian","produces","banana",24,26,4,0.866666666666667,"nouns","food_drink","banana","banana",6,3.4761904761919,-8.1364650408132,6.71,3.21,10.6578947368421,3.083333333,5
"13","Croatian","produces","bath",24,23,7,0.766666666666667,"other","games_routines","kupanje","kupanje",6,NA,-9.84121313305162,7,3.25,6.54838709677419,7.666666667,4.85
"14","Croatian","produces","bathroom",24,15,15,0.5,"nouns","furniture_rooms","kupaonica","kupaonica",9,NA,-10.5343603136116,5.26,2.86,NA,NA,4.52
"15","Croatian","produces","beach",24,3,27,0.1,"other","outside","plaža","plaža",5,NA,-9.0302829168353,7.21,5.1,10.1142857142857,3,4.79
"16","Croatian","produces","beach",24,3,27,0.1,"other","places","plaža","plaža",5,NA,-9.0302829168353,7.21,5.1,10.1142857142857,3,4.79
"17","Croatian","produces","beautiful",24,4,26,0.133333333333333,"adjectives","descriptive_words","krasno","krasno",6,3.87195121951354,-6.12156202027093,7.61,5.71,NA,NA,2.16
"18","Croatian","produces","bed",24,23,7,0.766666666666667,"nouns","furniture_rooms","krevet","krevet",6,6.49999999999855,-6.88370207231783,7.16,3,14.3055555555556,4.2,5
"19","Croatian","produces","bee",24,9,21,0.3,"nouns","animals","pčela","pčela",5,NA,-10.1288952055034,3.68,5.65,18.030303030303,1.8,4.88
"20","Croatian","produces","beep beep",24,26,4,0.866666666666667,"other","sounds","tu-tu","tu-tu",4,NA,NA,5.11,3.82,NA,NA,4
"21","Croatian","produces","bell",24,13,17,0.433333333333333,"nouns","household","zvono","zvono",5,5.24999999999813,-7.73099993270503,5.67,4.7,NA,NA,4.96
"22","Croatian","produces","belly button",24,25,5,0.833333333333333,"nouns","body_parts","pupak","pupak",5,NA,-9.84121313305162,5.73,4.95,NA,NA,5
